process_mode,loss_percent,quantity,is_anomaly,anomaly_type,reason,severity
MIXING,55.33,101.9,True,high_loss,Unusually high loss (55.3%) for MIXING,high
SEGREGATION,15.35,622.78,False,,,low
QC_PASS,-15.22,663.91,True,impossible_yield,Yield exceeds 100% - data entry error,high
INWARD,0.0,100.0,False,,,low
QC_PASS,0.0,2272.98,False,,,low
RECYCLING,0.69,742.83,False,,,low
QUALITY_CONTROL,4.32,364.83,False,,,low
TRANSFER,0.91,1628.01,False,,,low
PRODUCTION,-7.04,1111.58,True,negative_loss,Negative loss - more output than input (data entry error or fraud),high
QC_PASS,0.0,158.32,False,,,low
PRODUCTION,2.56,96940.93,True,extreme_quantity_high,Unusually large quantity (96941kg) for single processing batch,medium
QUALITY_CONTROL,11.56,365.21,False,,,low
TRANSFER,0.41,782.04,False,,,low
INWARD,0.0,1517.93,False,,,low
RECEIPT,-16.68,580.55,True,negative_loss,Negative loss - more output than input (data entry error or fraud),high
TRANSFER,28.39,1770.68,True,process_mismatch,High loss (28.4%) for TRANSFER operation (should be <3%),high
QC_PASS,0.0,400.45,False,,,low
BALING,0.17,1811.35,False,,,low
TRANSFER,22.99,1047.54,True,process_mismatch,High loss (23.0%) for TRANSFER operation (should be <3%),high
TRANSFER,0.82,414.07,False,,,low
SEGREGATION,14.03,189.25,False,,,low
QC_PASS,0.0,451.51,False,,,low
QC_FAIL,100.0,394.51,False,,,low
RECEIPT,0.0,252.88,False,,,low
RECYCLING,-39.24,814.29,True,impossible_yield,Yield exceeds 100% - data entry error,high
WASHING,-24.07,1656.45,True,negative_loss,Negative loss - more output than input (data entry error or fraud),high
RECEIPT,0.0,1182.44,False,,,low
INWARD,0.0,415.6,False,,,low
QUALITY_CONTROL,43.17,1455.27,True,high_loss,Unusually high loss (43.2%) for QUALITY_CONTROL,medium
PRODUCTION,1.62,5000.0,False,,,low
SEGREGATION,4.73,215893.52,True,extreme_quantity_high,Unusually large quantity (215894kg) for single processing batch,medium
RECEIPT,0.0,504.0,False,,,low
MANUFACTURING,3.7,148525.27,True,extreme_quantity_high,Unusually large quantity (148525kg) for single processing batch,medium
RECEIPT,0.0,662.43,False,,,low
TRANSFER,0.19,426.06,False,,,low
SEGREGATION,11.42,303.86,False,,,low
TRANSFER,0.41,2155.61,False,,,low
QC_FAIL,100.0,1008.89,False,,,low
QC_PASS,0.0,605.39,False,,,low
BALING,0.41,770.02,False,,,low
INWARD,0.0,1993.84,False,,,low
TRANSFER,15.73,1893.51,True,process_mismatch,High loss (15.7%) for TRANSFER operation (should be <3%),high
INWARD,0.0,397.23,False,,,low
RECYCLING,9.48,283.49,False,,,low
MANUFACTURING,4.3,849.72,False,,,low
TRANSFER,31.77,634.42,True,process_mismatch,High loss (31.8%) for TRANSFER operation (should be <3%),high
INWARD,38.15,270.46,True,high_loss,Unusually high loss (38.1%) for INWARD,medium
RECEIPT,0.0,1552.55,False,,,low
RECEIPT,0.0,554.24,False,,,low
TRANSFER,29.9,758.73,True,process_mismatch,High loss (29.9%) for TRANSFER operation (should be <3%),high
BALING,0.74,1017.1,False,,,low
BALING,0.39,481.14,False,,,low
SEGREGATION,12.57,291.85,False,,,low
QUALITY_CONTROL,6.04,464.54,False,,,low
QC_PASS,0.0,1327.61,False,,,low
PRODUCTION,4.8,196.28,False,,,low
QUALITY_CONTROL,29.44,839.75,False,,,low
MIXING,2.27,0.23,True,extreme_quantity_low,Unusually small quantity (0.23kg) - inefficient processing,low
WASHING,-11.22,1603.72,True,impossible_yield,Yield exceeds 100% - data entry error,high
QC_PASS,5.59,4.73,True,extreme_quantity_low,Unusually small quantity (4.73kg) - inefficient processing,low
RECEIPT,0.0,971.18,False,,,low
TRANSFER,0.72,100.0,False,,,low
QC_PASS,0.0,324.96,False,,,low
BALING,0.59,1192.56,False,,,low
TRANSFER,0.83,439.25,False,,,low
WASHING,4.15,3629.3,False,,,low
MIXING,6.55,375129.66,True,extreme_quantity_high,Unusually large quantity (375130kg) for single processing batch,medium
MANUFACTURING,-47.92,1988.02,True,impossible_yield,Yield exceeds 100% - data entry error,high
RECYCLING,2.13,3013.17,False,,,low
QC_PASS,-24.36,1410.14,True,negative_loss,Negative loss - more output than input (data entry error or fraud),high
QC_PASS,0.0,656.56,False,,,low
TRANSFER,36.62,1475.47,True,process_mismatch,High loss (36.6%) for TRANSFER operation (should be <3%),high
RECEIPT,0.0,883.84,False,,,low
WASHING,5.49,2403.05,False,,,low
SEGREGATION,7.57,566.71,False,,,low
SEGREGATION,3.1,1158.71,False,,,low
TRANSFER,33.51,1905.82,True,process_mismatch,High loss (33.5%) for TRANSFER operation (should be <3%),high
RECEIPT,0.0,1997.57,False,,,low
QC_PASS,0.0,1569.24,False,,,low
QC_PASS,0.0,651.71,False,,,low
SEGREGATION,5.28,929.79,False,,,low
BALING,0.85,942.41,False,,,low
MANUFACTURING,3.67,1389.67,False,,,low
BALING,0.96,392.8,False,,,low
MIXING,2.14,100.0,False,,,low
TRANSFER,0.7,2196.02,False,,,low
BALING,0.44,792.12,False,,,low
RECYCLING,7.25,477.26,False,,,low
TRANSFER,-20.57,863.53,True,impossible_yield,Yield exceeds 100% - data entry error,high
TRANSFER,32.84,1793.32,True,process_mismatch,High loss (32.8%) for TRANSFER operation (should be <3%),high
QUALITY_CONTROL,6.62,411.47,False,,,low
INWARD,-11.93,1762.27,True,impossible_yield,Yield exceeds 100% - data entry error,high
QC_FAIL,100.0,1078.12,False,,,low
MIXING,0.79,2375.87,False,,,low
INWARD,0.0,555.35,False,,,low
RECEIPT,0.0,546.17,False,,,low
QC_FAIL,100.0,2182.84,False,,,low
QUALITY_CONTROL,-22.72,1943.52,True,negative_loss,Negative loss - more output than input (data entry error or fraud),high
QUALITY_CONTROL,1.8,871.3,False,,,low
INWARD,0.0,1655.82,False,,,low
MANUFACTURING,-19.48,1935.65,True,impossible_yield,Yield exceeds 100% - data entry error,high
RECYCLING,7.07,859.88,False,,,low
TRANSFER,15.23,1778.54,True,process_mismatch,High loss (15.2%) for TRANSFER operation (should be <3%),high
QC_PASS,0.0,2824.55,False,,,low
MIXING,3.3,3.51,True,extreme_quantity_low,Unusually small quantity (3.51kg) - inefficient processing,low
MANUFACTURING,2.29,1085.58,False,,,low
QC_FAIL,57.7,1903.78,True,high_loss,Unusually high loss (57.7%) for QC_FAIL,high
TRANSFER,22.48,1722.52,True,process_mismatch,High loss (22.5%) for TRANSFER operation (should be <3%),high
QC_FAIL,100.0,492.55,False,,,low
RECYCLING,8.89,2729.66,False,,,low
QC_PASS,0.0,756.36,False,,,low
PRODUCTION,1.1,477.83,False,,,low
TRANSFER,1.35,806.5,False,,,low
QUALITY_CONTROL,13.63,266.79,False,,,low
TRANSFER,1.19,4759.5,False,,,low
RECYCLING,9.03,479.4,False,,,low
INWARD,0.0,417.53,False,,,low
QC_PASS,0.0,351.95,False,,,low
TRANSFER,1.75,346.22,False,,,low
INWARD,-8.61,1773.91,True,negative_loss,Negative loss - more output than input (data entry error or fraud),high
MIXING,1.96,1211.72,False,,,low
BALING,0.27,538.27,False,,,low
SEGREGATION,9.01,472.17,False,,,low
QC_PASS,0.0,3910.67,False,,,low
INWARD,-27.47,1336.75,True,negative_loss,Negative loss - more output than input (data entry error or fraud),high
RECEIPT,-18.87,334.49,True,negative_loss,Negative loss - more output than input (data entry error or fraud),high
RECEIPT,0.0,276.42,False,,,low
MIXING,3.34,370.06,False,,,low
RECYCLING,6.66,1584.74,False,,,low
PRODUCTION,1.83,1526.01,False,,,low
RECYCLING,7.3,108857.61,True,extreme_quantity_high,Unusually large quantity (108858kg) for single processing batch,medium
QUALITY_CONTROL,22.35,425.25,False,,,low
WASHING,8.16,454.18,False,,,low
RECEIPT,0.0,276.58,False,,,low
TRANSFER,35.3,1232.84,True,process_mismatch,High loss (35.3%) for TRANSFER operation (should be <3%),high
MIXING,77.87,1926.57,True,high_loss,Unusually high loss (77.9%) for MIXING,high
PRODUCTION,2.45,801.99,False,,,low
BALING,0.08,118.83,False,,,low
QC_PASS,0.0,163.89,False,,,low
QUALITY_CONTROL,24.98,1113.13,False,,,low
SEGREGATION,7.09,1529.6,False,,,low
INWARD,-28.51,1329.28,True,impossible_yield,Yield exceeds 100% - data entry error,high
QC_FAIL,100.0,617.96,False,,,low
RECYCLING,8.81,1528.51,False,,,low
INWARD,0.0,138.04,False,,,low
SEGREGATION,16.14,608.47,False,,,low
WASHING,-45.33,638.46,True,impossible_yield,Yield exceeds 100% - data entry error,high
RECEIPT,4.89,1.74,True,extreme_quantity_low,Unusually small quantity (1.74kg) - inefficient processing,low
QC_PASS,0.0,1151.35,False,,,low
WASHING,5.39,695.9,False,,,low
QC_FAIL,40.65,1179.67,True,high_loss,Unusually high loss (40.7%) for QC_FAIL,medium
QUALITY_CONTROL,15.46,398.26,False,,,low
QC_FAIL,100.0,663.88,False,,,low
TRANSFER,32.53,1322.02,True,process_mismatch,High loss (32.5%) for TRANSFER operation (should be <3%),high
MIXING,-21.63,1452.47,True,impossible_yield,Yield exceeds 100% - data entry error,high
WASHING,5.7,4.49,True,extreme_quantity_low,Unusually small quantity (4.49kg) - inefficient processing,low
QUALITY_CONTROL,16.86,1388.39,False,,,low
PRODUCTION,3.35,2164.81,False,,,low
PRODUCTION,3.07,1696.85,False,,,low
BALING,0.4,746.54,False,,,low
QC_PASS,-28.37,342.32,True,negative_loss,Negative loss - more output than input (data entry error or fraud),high
BALING,0.39,862.48,False,,,low
QC_PASS,0.0,100.0,False,,,low
INWARD,0.0,584.97,False,,,low
INWARD,-14.37,1635.99,True,negative_loss,Negative loss - more output than input (data entry error or fraud),high
QC_PASS,0.0,843.85,False,,,low
MIXING,1.51,432.52,False,,,low
TRANSFER,35.93,1308.47,True,process_mismatch,High loss (35.9%) for TRANSFER operation (should be <3%),high
PRODUCTION,4.59,237.08,False,,,low
QUALITY_CONTROL,17.45,535.95,False,,,low
MANUFACTURING,2.61,1037.69,False,,,low
PRODUCTION,2.88,516.53,False,,,low
SEGREGATION,12.43,363.44,False,,,low
INWARD,0.0,4271.67,False,,,low
TRANSFER,0.8,2217.31,False,,,low
BALING,6.75,326698.9,True,extreme_quantity_high,Unusually large quantity (326699kg) for single processing batch,medium
BALING,0.32,464.81,False,,,low
MIXING,7.86,498962.71,True,extreme_quantity_high,Unusually large quantity (498963kg) for single processing batch,medium
PRODUCTION,0.93,325.42,False,,,low
MIXING,2.69,827.57,False,,,low
MANUFACTURING,2.17,671.65,False,,,low
INWARD,61.37,1036.66,True,high_loss,Unusually high loss (61.4%) for INWARD,high
TRANSFER,0.6,545.02,False,,,low
INWARD,0.0,461.57,False,,,low
RECEIPT,0.0,380.46,False,,,low
QUALITY_CONTROL,23.2,310.83,False,,,low
QC_FAIL,100.0,316.75,False,,,low
INWARD,0.0,846.89,False,,,low
MANUFACTURING,3.71,284.1,False,,,low
TRANSFER,26.99,1540.59,True,process_mismatch,High loss (27.0%) for TRANSFER operation (should be <3%),high
INWARD,0.0,1266.42,False,,,low
BALING,0.52,395.23,False,,,low
MANUFACTURING,3.81,418.73,False,,,low
RECYCLING,3.83,382012.28,True,extreme_quantity_high,Unusually large quantity (382012kg) for single processing batch,medium
INWARD,2.25,280517.94,True,extreme_quantity_high,Unusually large quantity (280518kg) for single processing batch,medium
WASHING,-7.08,817.05,True,negative_loss,Negative loss - more output than input (data entry error or fraud),high
SEGREGATION,-8.25,1181.29,True,negative_loss,Negative loss - more output than input (data entry error or fraud),high
MIXING,43.09,136.05,True,high_loss,Unusually high loss (43.1%) for MIXING,medium
QC_FAIL,100.0,1048.29,False,,,low
MIXING,-15.34,1388.77,True,negative_loss,Negative loss - more output than input (data entry error or fraud),high
MANUFACTURING,2.01,1461.3,False,,,low
RECYCLING,8.58,145.51,False,,,low
QUALITY_CONTROL,12.02,1103.87,False,,,low
RECYCLING,7.5,2285.15,False,,,low
RECYCLING,13.63,864.02,False,,,low
RECEIPT,-14.4,961.48,True,negative_loss,Negative loss - more output than input (data entry error or fraud),high
BALING,0.23,996.84,False,,,low
QC_FAIL,100.0,100.0,False,,,low
RECEIPT,0.0,777.48,False,,,low
QUALITY_CONTROL,12.69,741.51,False,,,low
SEGREGATION,-31.97,1721.56,True,impossible_yield,Yield exceeds 100% - data entry error,high
TRANSFER,35.69,551.52,True,process_mismatch,High loss (35.7%) for TRANSFER operation (should be <3%),high
WASHING,4.34,685.44,False,,,low
MANUFACTURING,6.81,3.51,True,extreme_quantity_low,Unusually small quantity (3.51kg) - inefficient processing,low
MIXING,0.52,450.29,False,,,low
SEGREGATION,37.8,1788.17,True,high_loss,Unusually high loss (37.8%) for SEGREGATION,medium
PRODUCTION,1.82,2971.61,False,,,low
SEGREGATION,6.44,122.99,False,,,low
BALING,0.13,967.16,False,,,low
INWARD,0.0,958.97,False,,,low
MIXING,2.67,1463.11,False,,,low
MANUFACTURING,3.65,607.38,False,,,low
INWARD,0.0,1318.38,False,,,low
QC_FAIL,100.0,325.38,False,,,low
TRANSFER,0.82,339.54,False,,,low
MIXING,1.32,1087.85,False,,,low
SEGREGATION,46.08,1153.94,True,high_loss,Unusually high loss (46.1%) for SEGREGATION,medium
MIXING,1.75,363.91,False,,,low
TRANSFER,0.59,496.44,False,,,low
RECEIPT,0.0,578.77,False,,,low
RECEIPT,0.0,1698.41,False,,,low
RECYCLING,-19.67,1801.01,True,negative_loss,Negative loss - more output than input (data entry error or fraud),high
WASHING,5.75,157.12,False,,,low
BALING,40.82,1438.6,True,high_loss,Unusually high loss (40.8%) for BALING,medium
SEGREGATION,8.36,628.5,False,,,low
TRANSFER,1.22,377.65,False,,,low
QC_PASS,0.0,908.95,False,,,low
RECEIPT,0.0,358.51,False,,,low
BALING,0.62,1246.57,False,,,low
PRODUCTION,4.12,1550.82,False,,,low
QC_PASS,0.0,2373.98,False,,,low
MANUFACTURING,2.46,1192.51,False,,,low
MIXING,2.13,632.31,False,,,low
SEGREGATION,13.11,681.56,False,,,low
TRANSFER,0.53,488.39,False,,,low
INWARD,0.0,717.39,False,,,low
BALING,47.29,1358.33,True,high_loss,Unusually high loss (47.3%) for BALING,medium
RECEIPT,0.0,571.49,False,,,low
SEGREGATION,10.21,363.3,False,,,low
RECEIPT,0.0,212.9,False,,,low
BALING,0.33,807.96,False,,,low
QC_FAIL,100.0,456.41,False,,,low
TRANSFER,1.04,1377.7,False,,,low
QC_FAIL,100.0,360.09,False,,,low
SEGREGATION,10.33,599.0,False,,,low
TRANSFER,0.55,1431.38,False,,,low
SEGREGATION,7.6,393.19,False,,,low
MIXING,0.59,557.79,False,,,low
MIXING,2.79,512.2,False,,,low
TRANSFER,2.05,643.55,False,,,low
QC_PASS,0.0,1123.48,False,,,low
RECEIPT,0.0,401.67,False,,,low
QC_FAIL,-18.95,672.8,True,negative_loss,Negative loss - more output than input (data entry error or fraud),high
MANUFACTURING,0.9,610.02,False,,,low
RECYCLING,3.64,3.18,True,extreme_quantity_low,Unusually small quantity (3.18kg) - inefficient processing,low
PRODUCTION,2.99,551.18,False,,,low
RECYCLING,3.82,1608.37,False,,,low
INWARD,7.28,2.36,True,extreme_quantity_low,Unusually small quantity (2.36kg) - inefficient processing,low
BALING,0.18,321.26,False,,,low
MIXING,2.63,1148.11,False,,,low
QUALITY_CONTROL,-22.23,1289.39,True,negative_loss,Negative loss - more output than input (data entry error or fraud),high
QUALITY_CONTROL,24.63,249.4,False,,,low
INWARD,0.0,171.5,False,,,low
PRODUCTION,2.35,559.95,False,,,low
TRANSFER,33.17,923.55,True,process_mismatch,High loss (33.2%) for TRANSFER operation (should be <3%),high
SEGREGATION,8.67,2243.88,False,,,low
TRANSFER,23.89,1210.81,True,process_mismatch,High loss (23.9%) for TRANSFER operation (should be <3%),high
PRODUCTION,2.73,652.43,False,,,low
QC_FAIL,100.0,3468.15,False,,,low
WASHING,6.85,552.35,False,,,low
QUALITY_CONTROL,27.18,3872.33,False,,,low
QC_FAIL,100.0,546.07,False,,,low
QC_PASS,0.0,923.11,False,,,low
MANUFACTURING,2.54,1538.5,False,,,low
QC_FAIL,100.0,1438.45,False,,,low
TRANSFER,1.25,346.71,False,,,low
QUALITY_CONTROL,-17.33,1911.49,True,impossible_yield,Yield exceeds 100% - data entry error,high
RECYCLING,8.92,354.38,False,,,low
MANUFACTURING,3.2,490.2,False,,,low
QC_FAIL,100.0,238.05,False,,,low
SEGREGATION,6.4,1033.61,False,,,low
BALING,0.7,316.3,False,,,low
BALING,0.22,163.31,False,,,low
MIXING,1.54,259.36,False,,,low
BALING,0.0,1115.11,False,,,low
TRANSFER,1.57,516.28,False,,,low
MANUFACTURING,5.36,530.75,False,,,low
WASHING,6.08,622.96,False,,,low
QC_PASS,0.0,137.32,False,,,low
BALING,0.1,409.71,False,,,low
MIXING,2.17,1142.63,False,,,low
BALING,-46.8,1958.83,True,impossible_yield,Yield exceeds 100% - data entry error,high
MANUFACTURING,5.05,401.77,False,,,low
BALING,0.17,393.22,False,,,low
QUALITY_CONTROL,11.28,203.96,False,,,low
TRANSFER,1.23,812.81,False,,,low
PRODUCTION,1.41,547.18,False,,,low
QUALITY_CONTROL,7.38,593.85,False,,,low
TRANSFER,0.86,1234.32,False,,,low
QC_PASS,0.0,573.59,False,,,low
MIXING,2.74,329.85,False,,,low
RECEIPT,0.0,1903.37,False,,,low
SEGREGATION,8.72,1097.89,False,,,low
PRODUCTION,2.07,5000.0,False,,,low
TRANSFER,39.14,1846.4,True,process_mismatch,High loss (39.1%) for TRANSFER operation (should be <3%),high
SEGREGATION,16.75,809.24,False,,,low
RECEIPT,0.0,705.33,False,,,low
SEGREGATION,-8.0,1634.58,True,negative_loss,Negative loss - more output than input (data entry error or fraud),high
QC_FAIL,100.0,817.21,False,,,low
WASHING,4.19,855.39,False,,,low
MANUFACTURING,3.15,220187.99,True,extreme_quantity_high,Unusually large quantity (220188kg) for single processing batch,medium
RECYCLING,0.54,951.07,False,,,low
MIXING,2.65,514.59,False,,,low
RECYCLING,5.74,144.93,False,,,low
TRANSFER,29.83,1954.59,True,process_mismatch,High loss (29.8%) for TRANSFER operation (should be <3%),high
TRANSFER,0.71,1548.25,False,,,low
MIXING,5.76,3.16,True,extreme_quantity_low,Unusually small quantity (3.16kg) - inefficient processing,low
MIXING,79.95,1768.73,True,high_loss,Unusually high loss (79.9%) for MIXING,high
MANUFACTURING,2.31,383.26,False,,,low
BALING,0.5,5000.0,False,,,low
INWARD,6.23,0.17,True,extreme_quantity_low,Unusually small quantity (0.17kg) - inefficient processing,low
WASHING,8.51,2317.41,False,,,low
MANUFACTURING,6.08,0.41,True,extreme_quantity_low,Unusually small quantity (0.41kg) - inefficient processing,low
INWARD,0.0,411.7,False,,,low
SEGREGATION,9.1,2098.85,False,,,low
MANUFACTURING,0.06,389.74,False,,,low
RECEIPT,7.53,312792.18,True,extreme_quantity_high,Unusually large quantity (312792kg) for single processing batch,medium
PRODUCTION,2.45,591.59,False,,,low
QUALITY_CONTROL,11.56,606.94,False,,,low
QC_FAIL,100.0,1719.28,False,,,low
MIXING,1.01,2422.85,False,,,low
WASHING,4.57,688.88,False,,,low
QC_FAIL,100.0,803.5,False,,,low
QC_FAIL,100.0,492.5,False,,,low
QUALITY_CONTROL,42.92,715.47,False,,,low
QC_FAIL,100.0,622.61,False,,,low
QC_FAIL,100.0,100.0,False,,,low
QC_PASS,0.0,712.28,False,,,low
RECEIPT,0.0,4161.08,False,,,low
SEGREGATION,3.31,5000.0,False,,,low
RECYCLING,5.67,335.94,False,,,low
RECYCLING,7.89,425.37,False,,,low
RECEIPT,-44.08,1408.15,True,impossible_yield,Yield exceeds 100% - data entry error,high
QUALITY_CONTROL,4.44,1572.12,False,,,low
WASHING,6.36,902.42,False,,,low
BALING,0.82,152.81,False,,,low
TRANSFER,0.72,351.53,False,,,low
WASHING,5.64,0.97,True,extreme_quantity_low,Unusually small quantity (0.97kg) - inefficient processing,low
RECYCLING,10.41,886.47,False,,,low
WASHING,6.52,887.4,False,,,low
WASHING,0.96,869.1,False,,,low
QC_FAIL,100.0,713.64,False,,,low
MANUFACTURING,3.42,315.3,False,,,low
BALING,0.67,1211.27,False,,,low
QUALITY_CONTROL,12.4,328.98,False,,,low
MIXING,3.01,285.35,False,,,low
SEGREGATION,4.33,456614.38,True,extreme_quantity_high,Unusually large quantity (456614kg) for single processing batch,medium
QUALITY_CONTROL,13.2,1360.2,False,,,low
TRANSFER,1.42,411.21,False,,,low
PRODUCTION,2.92,1.85,True,extreme_quantity_low,Unusually small quantity (1.85kg) - inefficient processing,low
RECEIPT,0.0,733.48,False,,,low
QUALITY_CONTROL,25.98,885.48,False,,,low
RECEIPT,0.0,655.69,False,,,low
WASHING,6.66,1902.69,False,,,low
INWARD,57.45,904.5,True,high_loss,Unusually high loss (57.4%) for INWARD,high
BALING,0.29,394.35,False,,,low
PRODUCTION,1.7,323.03,False,,,low
SEGREGATION,5.95,1.46,True,extreme_quantity_low,Unusually small quantity (1.46kg) - inefficient processing,low
MIXING,3.42,2300.76,False,,,low
INWARD,-47.15,1827.5,True,impossible_yield,Yield exceeds 100% - data entry error,high
INWARD,0.0,245.77,False,,,low
QC_PASS,0.0,913.0,False,,,low
TRANSFER,-39.89,953.33,True,impossible_yield,Yield exceeds 100% - data entry error,high
RECYCLING,2.44,1395.5,False,,,low
PRODUCTION,2.9,534.71,False,,,low
MANUFACTURING,2.05,1327.96,False,,,low
MANUFACTURING,2.87,1819.1,False,,,low
INWARD,0.0,1156.01,False,,,low
BALING,0.93,2095.29,False,,,low
PRODUCTION,3.21,666.77,False,,,low
SEGREGATION,3.77,275794.21,True,extreme_quantity_high,Unusually large quantity (275794kg) for single processing batch,medium
MANUFACTURING,3.42,534.64,False,,,low
RECYCLING,-23.92,1614.35,True,negative_loss,Negative loss - more output than input (data entry error or fraud),high
QC_PASS,0.0,980.72,False,,,low
PRODUCTION,2.86,953.49,False,,,low
MIXING,6.75,2.13,True,extreme_quantity_low,Unusually small quantity (2.13kg) - inefficient processing,low
PRODUCTION,3.04,627.36,False,,,low
TRANSFER,0.08,129.58,False,,,low
QC_PASS,0.0,768.34,False,,,low
BALING,0.32,885.96,False,,,low
QUALITY_CONTROL,48.65,1023.26,True,high_loss,Unusually high loss (48.6%) for QUALITY_CONTROL,medium
QUALITY_CONTROL,17.61,418.82,False,,,low
SEGREGATION,9.84,1807.62,False,,,low
INWARD,0.0,1344.87,False,,,low
RECYCLING,6.96,579.24,False,,,low
RECEIPT,0.0,2443.4,False,,,low
QUALITY_CONTROL,21.6,488.63,False,,,low
QUALITY_CONTROL,17.57,230.69,False,,,low
PRODUCTION,1.99,1452.65,False,,,low
INWARD,0.0,1066.99,False,,,low
RECYCLING,8.72,609.18,False,,,low
WASHING,8.12,612.3,False,,,low
QC_PASS,-16.58,1887.56,True,impossible_yield,Yield exceeds 100% - data entry error,high
WASHING,6.11,1507.6,False,,,low
QUALITY_CONTROL,4.92,506.84,False,,,low
WASHING,4.34,2.35,True,extreme_quantity_low,Unusually small quantity (2.35kg) - inefficient processing,low
TRANSFER,35.21,835.33,True,process_mismatch,High loss (35.2%) for TRANSFER operation (should be <3%),high
TRANSFER,1.09,244.73,False,,,low
MIXING,1.98,332.16,False,,,low
WASHING,7.81,2256.23,False,,,low
WASHING,7.5,905.57,False,,,low
QUALITY_CONTROL,-34.64,961.72,True,impossible_yield,Yield exceeds 100% - data entry error,high
QUALITY_CONTROL,28.39,378.38,False,,,low
SEGREGATION,7.03,1013.93,False,,,low
RECYCLING,2.5,203.77,False,,,low
WASHING,5.42,1171.41,False,,,low
PRODUCTION,1.12,1590.69,False,,,low
RECYCLING,8.93,393.93,False,,,low
TRANSFER,-9.31,780.13,True,negative_loss,Negative loss - more output than input (data entry error or fraud),high
QC_FAIL,-36.52,1144.18,True,impossible_yield,Yield exceeds 100% - data entry error,high
QC_FAIL,-8.98,1818.3,True,negative_loss,Negative loss - more output than input (data entry error or fraud),high
WASHING,7.95,333.14,False,,,low
QUALITY_CONTROL,16.63,1903.14,False,,,low
QUALITY_CONTROL,22.27,402.41,False,,,low
MIXING,1.64,5000.0,False,,,low
TRANSFER,18.62,1914.33,True,process_mismatch,High loss (18.6%) for TRANSFER operation (should be <3%),high
RECEIPT,0.0,269.38,False,,,low
MANUFACTURING,4.25,1856.11,False,,,low
QC_PASS,0.0,350.63,False,,,low
BALING,-10.53,1785.65,True,impossible_yield,Yield exceeds 100% - data entry error,high
INWARD,0.0,607.57,False,,,low
MANUFACTURING,-18.89,520.89,True,negative_loss,Negative loss - more output than input (data entry error or fraud),high
RECYCLING,9.84,1078.41,False,,,low
BALING,-49.21,1072.13,True,impossible_yield,Yield exceeds 100% - data entry error,high
TRANSFER,1.02,756.33,False,,,low
SEGREGATION,8.74,737.67,False,,,low
WASHING,8.45,347.78,False,,,low
QC_FAIL,100.0,788.6,False,,,low
TRANSFER,0.98,620.38,False,,,low
WASHING,3.75,5000.0,False,,,low
RECYCLING,4.49,0.98,True,extreme_quantity_low,Unusually small quantity (0.98kg) - inefficient processing,low
SEGREGATION,7.74,626.07,False,,,low
MANUFACTURING,6.18,530.32,False,,,low
SEGREGATION,20.43,776.44,False,,,low
SEGREGATION,3.12,499.33,False,,,low
SEGREGATION,-34.61,1348.41,True,impossible_yield,Yield exceeds 100% - data entry error,high
TRANSFER,20.63,1603.59,True,process_mismatch,High loss (20.6%) for TRANSFER operation (should be <3%),high
BALING,-42.17,1874.2,True,impossible_yield,Yield exceeds 100% - data entry error,high
MIXING,3.97,964.3,False,,,low
TRANSFER,34.16,1401.02,True,process_mismatch,High loss (34.2%) for TRANSFER operation (should be <3%),high
MANUFACTURING,2.17,936.71,False,,,low
PRODUCTION,2.65,454.3,False,,,low
MANUFACTURING,3.13,280.25,False,,,low
PRODUCTION,1.21,387.99,False,,,low
RECYCLING,5.05,388088.62,True,extreme_quantity_high,Unusually large quantity (388089kg) for single processing batch,medium
QC_FAIL,100.0,434.54,False,,,low
RECYCLING,7.86,497415.82,True,extreme_quantity_high,Unusually large quantity (497416kg) for single processing batch,medium
INWARD,0.0,554.37,False,,,low
INWARD,0.0,3041.83,False,,,low
TRANSFER,18.08,703.63,True,process_mismatch,High loss (18.1%) for TRANSFER operation (should be <3%),high
RECEIPT,0.0,685.42,False,,,low
TRANSFER,0.14,677.14,False,,,low
SEGREGATION,0.0,379.54,False,,,low
TRANSFER,0.61,239.2,False,,,low
RECEIPT,0.0,400.67,False,,,low
RECEIPT,42.61,1267.5,True,high_loss,Unusually high loss (42.6%) for RECEIPT,medium
WASHING,5.42,256.34,False,,,low
RECYCLING,2.58,1418.63,False,,,low
TRANSFER,0.25,771.22,False,,,low
RECYCLING,5.07,1163.47,False,,,low
PRODUCTION,2.48,100.0,False,,,low
MANUFACTURING,3.28,1.85,True,extreme_quantity_low,Unusually small quantity (1.85kg) - inefficient processing,low
MIXING,1.88,275.19,False,,,low
BALING,0.62,1314.58,False,,,low
MANUFACTURING,-33.04,1408.78,True,impossible_yield,Yield exceeds 100% - data entry error,high
QC_FAIL,100.0,430.06,False,,,low
QUALITY_CONTROL,24.58,100.0,False,,,low
BALING,65.02,383.07,True,high_loss,Unusually high loss (65.0%) for BALING,high
BALING,7.9,0.6,True,extreme_quantity_low,Unusually small quantity (0.60kg) - inefficient processing,low
WASHING,7.96,869.61,False,,,low
PRODUCTION,1.7,893.56,False,,,low
PRODUCTION,3.48,770.81,False,,,low
INWARD,5.44,225898.65,True,extreme_quantity_high,Unusually large quantity (225899kg) for single processing batch,medium
RECEIPT,0.0,210.4,False,,,low
RECEIPT,0.0,560.42,False,,,low
SEGREGATION,2.89,1178.26,False,,,low
WASHING,7.56,776.47,False,,,low
