process_mode,input_quantity,source_material,source_state,source_grade,scenario,yield_percent,loss_percent,output_quantity
WASHING,402.72,LDPE,BALE,Unknown,SCN-4,90.57,9.43,364.74
BALING,1082.92,GRANULE,RAW,Food Grade,SCN-4,99.58,0.42,1078.33
RECEIPT,345.89,PRODUCT,BALE,Premium,SCN-4,99.99,0.01,345.87
MIXING,1067.06,FLAKE,BALE,Grade A,SCN-1,99.98,0.02,1066.86
TRANSFER,1612.0,PET,BALE,Food Grade,SCN-5,100.0,0.0,1612.0
BALING,2108.86,LDPE,GRANULE,Grade C,SCN-2,97.96,2.04,2065.82
MANUFACTURING,1682.17,FLAKE,GRANULE,Unknown,SCN-5,99.4,0.6,1672.01
RECEIPT,1382.92,PP,GRANULE,Premium,SCN-6,99.57,0.43,1376.95
RECEIPT,1190.08,MIXED,WASHED,Technical Grade,SCN-5,100.0,0.0,1190.08
QC_PASS,674.86,GRANULE,FLAKE,Grade B,SCN-5,100.0,0.0,674.86
RECEIPT,1031.22,PET,SORTED,Standard,SCN-4,99.6,0.4,1027.14
WASHING,1410.83,PP,WASHED,Grade B,SCN-1,97.56,2.44,1376.45
QC_PASS,330.47,PP,PROCESSED,Standard,SCN-3,100.0,0.0,330.47
SEGREGATION,1728.73,PRODUCT,SORTED,Rejected,SCN-3,70.17,29.83,1213.01
SEGREGATION,232.55,PET,BALE,Standard,SCN-4,87.43,12.57,203.31
TRANSFER,353.69,HDPE,GRANULE,Unknown,SCN-1,99.94,0.06,353.5
MANUFACTURING,490.67,HDPE,RAW,Food Grade,SCN-5,99.38,0.62,487.65
QC_FAIL,73.61,FLAKE,WASHED,Technical Grade,SCN-5,0.0,100.0,0.0
MANUFACTURING,94.13,MIXED,FLAKE,Technical Grade,SCN-3,92.32,7.68,86.91
RECEIPT,3559.51,PRODUCT,PROCESSED,Rejected,SCN-1,100.0,0.0,3559.51
PRODUCTION,958.27,LDPE,BALE,Food Grade,SCN-4,99.22,0.78,950.75
RECYCLING,432.94,PP,GRANULE,Technical Grade,SCN-5,92.87,7.13,402.09
MANUFACTURING,5205.63,PVC,FLAKE,Unknown,SCN-3,92.59,7.41,4820.13
INWARD,1162.51,FLAKE,SORTED,Grade A,SCN-6,99.51,0.49,1156.86
MANUFACTURING,149.61,PVC,PROCESSED,Unknown,SCN-1,92.53,7.47,138.44
RECYCLING,73.79,FLAKE,BALE,Unknown,SCN-5,90.98,9.02,67.13
QC_PASS,232.61,PP,SORTED,Unknown,SCN-4,100.0,0.0,232.61
RECYCLING,951.39,PVC,SORTED,Premium,SCN-4,98.37,1.63,935.89
SEGREGATION,1834.51,PRODUCT,GRANULE,Grade B,SCN-4,99.25,0.75,1820.67
BALING,102.53,HDPE,PROCESSED,Technical Grade,SCN-2,97.92,2.08,100.4
QC_PASS,1024.76,PET,SORTED,Rejected,SCN-5,99.62,0.38,1020.83
INWARD,4180.14,MIXED,RAW,Standard,SCN-3,100.0,0.0,4180.14
SEGREGATION,462.74,PP,WASHED,Rejected,SCN-2,70.37,29.63,325.65
QC_FAIL,393.75,FLAKE,WASHED,Rejected,SCN-2,0.0,100.0,0.0
QUALITY_CONTROL,147.96,PVC,PROCESSED,Rejected,SCN-5,49.8,50.2,73.68
MANUFACTURING,288.37,GRANULE,SORTED,Premium,SCN-2,99.48,0.52,286.87
RECEIPT,735.01,GRANULE,WASHED,Grade A,SCN-5,100.0,0.0,735.01
RECYCLING,1050.22,GRANULE,RAW,Unknown,SCN-3,98.27,1.73,1032.06
QC_FAIL,215.81,HDPE,PROCESSED,Grade A,SCN-3,0.27,99.73,0.59
INWARD,138.98,FLAKE,SORTED,Rejected,SCN-4,100.0,0.0,138.98
TRANSFER,2543.96,LDPE,WASHED,Grade B,SCN-6,97.29,2.71,2475.04
SEGREGATION,1187.38,HDPE,WASHED,Premium,SCN-4,91.99,8.01,1092.23
MANUFACTURING,575.89,FLAKE,WASHED,Food Grade,SCN-4,99.64,0.36,573.82
INWARD,606.77,HDPE,RAW,Premium,SCN-2,100.0,0.0,606.77
RECEIPT,2401.42,PET,RAW,Unknown,SCN-2,100.0,0.0,2401.42
WASHING,3906.63,GRANULE,SORTED,Grade A,SCN-5,98.26,1.74,3838.74
MANUFACTURING,846.61,PET,PROCESSED,Grade B,SCN-6,99.24,0.76,840.16
QC_PASS,574.09,PVC,WASHED,Standard,SCN-4,100.0,0.0,574.09
QC_PASS,525.33,PET,FLAKE,Technical Grade,SCN-6,100.0,0.0,525.33
INWARD,870.7,GRANULE,GRANULE,Grade B,SCN-3,100.0,0.0,870.7
BALING,875.45,PRODUCT,WASHED,Food Grade,SCN-6,100.0,0.0,875.45
MANUFACTURING,441.01,MIXED,WASHED,Standard,SCN-1,91.62,8.38,404.06
RECYCLING,150.0,FLAKE,SORTED,Premium,SCN-2,98.48,1.52,147.72
QUALITY_CONTROL,3082.31,PRODUCT,GRANULE,Unknown,SCN-6,62.43,37.57,1924.14
SEGREGATION,250.25,PVC,BALE,Standard,SCN-5,87.83,12.17,219.8
PRODUCTION,2129.22,PET,BALE,Premium,SCN-5,99.11,0.89,2110.37
MANUFACTURING,1057.83,FLAKE,FLAKE,Grade B,SCN-3,99.75,0.25,1055.14
QC_PASS,368.71,GRANULE,FLAKE,Grade B,SCN-3,99.73,0.27,367.73
RECYCLING,1889.68,MIXED,WASHED,Food Grade,SCN-5,87.76,12.24,1658.3
BALING,269.33,PVC,RAW,Grade A,SCN-4,99.35,0.65,267.59
SEGREGATION,553.36,PRODUCT,PROCESSED,Rejected,SCN-3,70.48,29.52,390.04
RECEIPT,361.43,MIXED,BALE,Premium,SCN-2,99.56,0.44,359.85
QC_PASS,2270.61,HDPE,GRANULE,Technical Grade,SCN-6,99.57,0.43,2260.92
WASHING,523.43,MIXED,SORTED,Grade A,SCN-1,93.06,6.94,487.09
QC_PASS,769.17,FLAKE,GRANULE,Food Grade,SCN-2,99.61,0.39,766.2
RECEIPT,285.91,PRODUCT,SORTED,Grade C,SCN-5,99.54,0.46,284.59
RECEIPT,612.25,PVC,BALE,Rejected,SCN-1,99.68,0.32,610.3
MANUFACTURING,1129.68,PP,SORTED,Standard,SCN-3,98.52,1.48,1112.98
QC_PASS,2627.83,PRODUCT,GRANULE,Rejected,SCN-4,100.0,0.0,2627.83
QC_FAIL,533.5,MIXED,RAW,Unknown,SCN-3,0.43,99.57,2.31
INWARD,684.34,HDPE,GRANULE,Grade C,SCN-2,100.0,0.0,684.34
INWARD,817.59,PVC,GRANULE,Technical Grade,SCN-6,100.0,0.0,817.59
QUALITY_CONTROL,1314.67,HDPE,WASHED,Grade B,SCN-2,99.41,0.59,1306.89
RECYCLING,177.13,PVC,SORTED,Standard,SCN-6,86.26,13.74,152.79
RECEIPT,642.55,LDPE,SORTED,Grade B,SCN-3,99.96,0.04,642.32
INWARD,4204.45,PRODUCT,BALE,Grade A,SCN-3,99.83,0.17,4197.4
PRODUCTION,246.08,GRANULE,BALE,Grade B,SCN-1,99.49,0.51,244.83
MANUFACTURING,771.01,HDPE,WASHED,Technical Grade,SCN-4,95.65,4.35,737.49
INWARD,2327.65,PRODUCT,BALE,Technical Grade,SCN-3,100.0,0.0,2327.65
PRODUCTION,2307.35,HDPE,BALE,Food Grade,SCN-6,99.84,0.16,2303.69
RECEIPT,5980.28,PET,GRANULE,Food Grade,SCN-1,99.95,0.05,5977.02
QC_PASS,175.11,HDPE,PROCESSED,Standard,SCN-6,100.0,0.0,175.11
RECEIPT,2465.6,MIXED,BALE,Rejected,SCN-1,100.0,0.0,2465.6
RECYCLING,326.59,FLAKE,BALE,Grade C,SCN-2,87.62,12.38,286.17
PRODUCTION,547.94,PRODUCT,BALE,Rejected,SCN-3,92.82,7.18,508.61
MANUFACTURING,1037.53,PVC,WASHED,Technical Grade,SCN-1,91.86,8.14,953.03
TRANSFER,401.9,LDPE,SORTED,Grade C,SCN-1,96.63,3.37,388.36
MIXING,2470.03,FLAKE,GRANULE,Grade B,SCN-5,100.0,0.0,2470.03
QC_PASS,417.94,PET,RAW,Grade C,SCN-6,99.78,0.22,417.04
SEGREGATION,385.71,MIXED,FLAKE,Grade C,SCN-4,72.98,27.02,281.48
MANUFACTURING,2849.25,PET,RAW,Grade C,SCN-4,93.9,6.1,2675.51
TRANSFER,2512.25,FLAKE,WASHED,Grade C,SCN-2,97.44,2.56,2447.89
SEGREGATION,219.97,PET,BALE,Standard,SCN-5,90.29,9.71,198.6
QUALITY_CONTROL,1733.21,PVC,GRANULE,Standard,SCN-5,76.4,23.6,1324.12
PRODUCTION,767.35,PET,SORTED,Unknown,SCN-1,98.04,1.96,752.33
RECYCLING,157.58,PET,GRANULE,Rejected,SCN-1,79.9,20.1,125.9
BALING,551.81,GRANULE,GRANULE,Technical Grade,SCN-2,99.62,0.38,549.7
PRODUCTION,22.07,HDPE,FLAKE,Premium,SCN-5,99.73,0.27,22.01
RECYCLING,1240.55,PRODUCT,GRANULE,Premium,SCN-1,97.7,2.3,1212.02
TRANSFER,398.14,GRANULE,SORTED,Unknown,SCN-3,99.87,0.13,397.61
MIXING,359.92,PP,RAW,Grade C,SCN-6,95.26,4.74,342.87
MANUFACTURING,615.33,PVC,RAW,Grade B,SCN-3,93.45,6.55,575.01
PRODUCTION,251.25,GRANULE,WASHED,Food Grade,SCN-1,99.82,0.18,250.81
QC_PASS,123.07,HDPE,BALE,Grade C,SCN-5,99.55,0.45,122.52
TRANSFER,1241.49,PP,RAW,Standard,SCN-4,100.0,0.0,1241.49
WASHING,1394.57,PVC,RAW,Technical Grade,SCN-3,87.69,12.31,1222.92
INWARD,1985.64,PVC,WASHED,Standard,SCN-5,99.55,0.45,1976.73
SEGREGATION,115.23,MIXED,SORTED,Standard,SCN-4,87.41,12.59,100.72
WASHING,566.27,HDPE,BALE,Premium,SCN-2,98.64,1.36,558.55
SEGREGATION,269.26,PRODUCT,BALE,Technical Grade,SCN-1,89.01,10.99,239.66
QC_PASS,525.47,PRODUCT,WASHED,Rejected,SCN-2,100.0,0.0,525.47
PRODUCTION,1422.34,FLAKE,FLAKE,Grade C,SCN-3,93.34,6.66,1327.66
RECYCLING,1402.84,PP,FLAKE,Grade B,SCN-5,89.94,10.06,1261.76
MIXING,301.92,PVC,BALE,Premium,SCN-3,97.35,2.65,293.91
MANUFACTURING,549.04,MIXED,FLAKE,Premium,SCN-6,95.75,4.25,525.69
INWARD,166.76,PRODUCT,PROCESSED,Standard,SCN-3,99.58,0.42,166.06
QC_PASS,284.84,PRODUCT,RAW,Premium,SCN-5,99.67,0.33,283.9
MIXING,957.32,HDPE,GRANULE,Food Grade,SCN-2,99.83,0.17,955.71
BALING,204.63,LDPE,WASHED,Premium,SCN-6,100.0,0.0,204.63
TRANSFER,289.15,FLAKE,BALE,Grade C,SCN-4,96.81,3.19,279.92
MIXING,571.51,PVC,RAW,Rejected,SCN-6,95.33,4.67,544.82
RECYCLING,128.33,HDPE,RAW,Standard,SCN-5,88.91,11.09,114.1
RECEIPT,209.83,LDPE,PROCESSED,Grade A,SCN-4,100.0,0.0,209.83
MIXING,811.55,PRODUCT,PROCESSED,Technical Grade,SCN-2,97.01,2.99,787.26
MANUFACTURING,2097.38,MIXED,WASHED,Standard,SCN-5,92.28,7.72,1935.37
QC_FAIL,256.2,PP,RAW,Technical Grade,SCN-6,0.0,100.0,0.0
QC_FAIL,346.65,HDPE,WASHED,Rejected,SCN-5,0.05,99.95,0.16
BALING,271.34,FLAKE,BALE,Rejected,SCN-2,97.84,2.16,265.47
TRANSFER,1429.78,HDPE,WASHED,Technical Grade,SCN-5,97.19,2.81,1389.56
RECYCLING,1022.54,LDPE,WASHED,Grade B,SCN-5,92.35,7.65,944.29
INWARD,1165.69,GRANULE,FLAKE,Rejected,SCN-5,99.95,0.05,1165.14
RECYCLING,915.79,LDPE,RAW,Grade C,SCN-6,84.97,15.03,778.15
SEGREGATION,268.39,PRODUCT,RAW,Rejected,SCN-2,70.47,29.53,189.13
INWARD,8116.42,PP,WASHED,Grade C,SCN-6,100.0,0.0,8116.42
PRODUCTION,649.24,LDPE,GRANULE,Grade C,SCN-4,93.13,6.87,604.67
INWARD,397.44,PVC,FLAKE,Grade A,SCN-3,100.0,0.0,397.44
MANUFACTURING,295.82,PRODUCT,FLAKE,Grade A,SCN-6,99.85,0.15,295.38
TRANSFER,572.01,PP,BALE,Grade C,SCN-4,96.53,3.47,552.17
INWARD,220.9,GRANULE,FLAKE,Standard,SCN-5,100.0,0.0,220.9
PRODUCTION,631.82,PVC,SORTED,Grade B,SCN-6,94.0,6.0,593.9
MIXING,633.91,PET,SORTED,Rejected,SCN-2,94.57,5.43,599.51
WASHING,108.84,PET,FLAKE,Grade B,SCN-4,98.09,1.91,106.76
MIXING,396.57,PP,RAW,Premium,SCN-3,100.0,0.0,396.57
WASHING,1432.87,HDPE,PROCESSED,Unknown,SCN-1,97.47,2.53,1396.6
BALING,1486.11,FLAKE,RAW,Unknown,SCN-5,99.8,0.2,1483.09
QC_FAIL,57.11,HDPE,RAW,Technical Grade,SCN-5,0.0,100.0,0.0
RECEIPT,867.5,LDPE,FLAKE,Grade C,SCN-2,99.67,0.33,864.63
RECYCLING,393.15,PVC,WASHED,Grade A,SCN-2,93.39,6.61,367.17
QC_PASS,1566.48,LDPE,SORTED,Technical Grade,SCN-4,99.67,0.33,1561.38
RECEIPT,496.83,PVC,FLAKE,Food Grade,SCN-2,100.0,0.0,496.83
MANUFACTURING,184.47,PRODUCT,FLAKE,Food Grade,SCN-3,99.65,0.35,183.83
SEGREGATION,1302.78,PRODUCT,PROCESSED,Grade C,SCN-4,93.45,6.55,1217.42
RECYCLING,749.97,FLAKE,FLAKE,Grade B,SCN-1,95.61,4.39,717.02
PRODUCTION,675.45,PVC,RAW,Food Grade,SCN-3,95.36,4.64,644.13
TRANSFER,1909.18,PRODUCT,GRANULE,Premium,SCN-4,99.83,0.17,1905.91
RECYCLING,976.5,PRODUCT,FLAKE,Premium,SCN-5,98.38,1.62,960.72
SEGREGATION,1107.98,LDPE,FLAKE,Technical Grade,SCN-1,82.99,17.01,919.56
SEGREGATION,2921.77,FLAKE,SORTED,Grade A,SCN-4,96.89,3.11,2830.83
TRANSFER,3019.99,PP,GRANULE,Grade C,SCN-3,96.57,3.43,2916.3
SEGREGATION,386.28,FLAKE,GRANULE,Food Grade,SCN-3,96.33,3.67,372.12
TRANSFER,1703.94,PP,SORTED,Grade C,SCN-2,97.04,2.96,1653.53
RECYCLING,192.9,FLAKE,WASHED,Unknown,SCN-1,97.67,2.33,188.4
MANUFACTURING,444.23,LDPE,FLAKE,Grade A,SCN-5,98.98,1.02,439.71
QUALITY_CONTROL,1036.79,PET,GRANULE,Rejected,SCN-5,49.57,50.43,513.95
MIXING,3276.21,MIXED,GRANULE,Grade B,SCN-4,94.71,5.29,3102.9
RECEIPT,1240.67,MIXED,PROCESSED,Grade A,SCN-4,100.0,0.0,1240.67
MANUFACTURING,491.53,GRANULE,PROCESSED,Grade B,SCN-4,99.69,0.31,490.02
PRODUCTION,536.51,MIXED,GRANULE,Rejected,SCN-3,93.39,6.61,501.04
RECYCLING,2793.87,HDPE,BALE,Rejected,SCN-6,80.24,19.76,2241.75
SEGREGATION,811.24,PRODUCT,RAW,Grade B,SCN-5,88.71,11.29,719.66
INWARD,281.68,PP,SORTED,Rejected,SCN-5,100.0,0.0,281.68
QC_PASS,830.06,MIXED,PROCESSED,Grade C,SCN-6,99.52,0.48,826.08
INWARD,1731.43,PP,FLAKE,Food Grade,SCN-4,99.82,0.18,1728.28
SEGREGATION,2372.16,MIXED,BALE,Technical Grade,SCN-4,84.05,15.95,1993.69
RECYCLING,894.83,PP,RAW,Rejected,SCN-5,80.16,19.84,717.27
INWARD,474.76,PP,GRANULE,Grade B,SCN-6,99.74,0.26,473.51
MIXING,332.7,LDPE,RAW,Grade B,SCN-2,97.75,2.25,325.22
PRODUCTION,522.48,PP,SORTED,Grade C,SCN-6,96.03,3.97,501.72
RECYCLING,381.66,LDPE,WASHED,Premium,SCN-6,94.95,5.05,362.37
TRANSFER,3860.76,PET,SORTED,Standard,SCN-3,100.0,0.0,3860.76
RECYCLING,4923.31,GRANULE,WASHED,Grade B,SCN-3,92.96,7.04,4576.49
RECEIPT,597.05,MIXED,RAW,Grade B,SCN-3,100.0,0.0,597.05
RECYCLING,2051.07,GRANULE,WASHED,Grade C,SCN-5,92.92,7.08,1905.93
QC_FAIL,1521.17,LDPE,PROCESSED,Grade A,SCN-6,0.0,100.0,0.0
MANUFACTURING,284.14,MIXED,GRANULE,Standard,SCN-6,92.3,7.7,262.26
PRODUCTION,424.03,PP,WASHED,Unknown,SCN-2,98.76,1.24,418.79
QUALITY_CONTROL,59.75,PVC,WASHED,Premium,SCN-5,93.53,6.47,55.88
MIXING,2449.18,HDPE,SORTED,Food Grade,SCN-6,99.51,0.49,2437.1
RECYCLING,826.69,PET,BALE,Rejected,SCN-5,80.19,19.81,662.95
RECEIPT,885.19,FLAKE,FLAKE,Technical Grade,SCN-1,100.0,0.0,885.19
PRODUCTION,386.58,LDPE,WASHED,Premium,SCN-1,98.8,1.2,381.93
QC_PASS,1236.13,LDPE,BALE,Grade C,SCN-1,100.0,0.0,1236.13
MANUFACTURING,422.75,PP,GRANULE,Premium,SCN-5,99.78,0.22,421.84
TRANSFER,73.29,PET,FLAKE,Technical Grade,SCN-1,98.88,1.12,72.47
INWARD,1481.9,GRANULE,SORTED,Technical Grade,SCN-2,100.0,0.0,1481.9
RECEIPT,472.03,PET,RAW,Premium,SCN-3,99.63,0.37,470.28
QC_FAIL,237.43,FLAKE,WASHED,Grade C,SCN-1,0.12,99.88,0.28
INWARD,222.66,PVC,RAW,Unknown,SCN-3,100.0,0.0,222.66
SEGREGATION,225.53,PET,RAW,Rejected,SCN-5,69.62,30.38,157.01
QC_FAIL,75.34,MIXED,WASHED,Unknown,SCN-3,0.1,99.9,0.07
BALING,247.68,PET,GRANULE,Premium,SCN-4,100.0,0.0,247.68
SEGREGATION,301.01,HDPE,WASHED,Technical Grade,SCN-1,85.8,14.2,258.26
SEGREGATION,397.01,PRODUCT,PROCESSED,Standard,SCN-6,93.29,6.71,370.37
MANUFACTURING,631.66,PET,GRANULE,Grade C,SCN-6,91.96,8.04,580.87
INWARD,897.53,HDPE,FLAKE,Unknown,SCN-6,99.84,0.16,896.12
QC_FAIL,226.22,PRODUCT,FLAKE,Technical Grade,SCN-4,0.44,99.56,0.99
RECEIPT,559.95,PP,BALE,Standard,SCN-2,99.56,0.44,557.47
QUALITY_CONTROL,1494.96,FLAKE,RAW,Standard,SCN-2,91.73,8.27,1371.26
SEGREGATION,185.01,MIXED,SORTED,Rejected,SCN-1,70.02,29.98,129.54
RECEIPT,192.41,PRODUCT,BALE,Grade C,SCN-4,99.89,0.11,192.2
TRANSFER,2666.01,PVC,SORTED,Standard,SCN-3,97.33,2.67,2594.76
QC_PASS,499.21,GRANULE,RAW,Unknown,SCN-4,100.0,0.0,499.21
RECYCLING,816.11,LDPE,WASHED,Grade C,SCN-5,85.11,14.89,694.6
RECEIPT,2210.02,GRANULE,BALE,Grade C,SCN-5,99.76,0.24,2204.68
PRODUCTION,1042.79,HDPE,SORTED,Rejected,SCN-5,93.11,6.89,970.98
PRODUCTION,929.86,GRANULE,BALE,Grade B,SCN-1,99.89,0.11,928.83
QUALITY_CONTROL,347.23,LDPE,FLAKE,Premium,SCN-5,85.89,14.11,298.22
MANUFACTURING,93.1,GRANULE,GRANULE,Grade B,SCN-2,99.44,0.56,92.58
RECYCLING,3221.02,LDPE,SORTED,Grade A,SCN-3,96.93,3.07,3122.13
QUALITY_CONTROL,692.24,PET,GRANULE,Grade A,SCN-6,100.0,0.0,692.24
MIXING,749.65,HDPE,FLAKE,Standard,SCN-1,96.22,3.78,721.31
TRANSFER,2900.59,PET,SORTED,Grade C,SCN-5,97.49,2.51,2827.79
QC_FAIL,648.83,FLAKE,GRANULE,Food Grade,SCN-5,0.0,100.0,0.0
WASHING,136.55,PET,BALE,Premium,SCN-3,98.68,1.32,134.74
PRODUCTION,286.36,PET,RAW,Grade B,SCN-4,97.38,2.62,278.86
QUALITY_CONTROL,291.37,PVC,GRANULE,Premium,SCN-4,74.68,25.32,217.6
QC_FAIL,888.04,LDPE,BALE,Rejected,SCN-2,0.0,100.0,0.0
RECEIPT,761.54,PP,SORTED,Unknown,SCN-3,100.0,0.0,761.54
QUALITY_CONTROL,170.14,PET,GRANULE,Premium,SCN-5,79.52,20.48,135.3
MANUFACTURING,833.26,FLAKE,RAW,Premium,SCN-5,99.76,0.24,831.22
QC_FAIL,442.89,PET,PROCESSED,Standard,SCN-2,0.33,99.67,1.45
SEGREGATION,869.35,PVC,WASHED,Premium,SCN-4,86.02,13.98,747.84
BALING,579.99,PVC,RAW,Grade A,SCN-3,99.21,0.79,575.38
TRANSFER,209.62,MIXED,BALE,Grade A,SCN-6,97.43,2.57,204.23
BALING,384.23,PRODUCT,BALE,Standard,SCN-6,100.0,0.0,384.23
INWARD,377.85,PVC,GRANULE,Grade C,SCN-5,99.84,0.16,377.25
TRANSFER,234.62,PET,RAW,Rejected,SCN-1,96.73,3.27,226.95
PRODUCTION,722.35,HDPE,RAW,Standard,SCN-2,96.86,3.14,699.65
QC_PASS,959.02,LDPE,WASHED,Premium,SCN-5,100.0,0.0,959.02
QC_FAIL,470.26,PVC,GRANULE,Grade A,SCN-1,0.0,100.0,0.0
QC_PASS,450.54,PRODUCT,BALE,Premium,SCN-2,99.9,0.1,450.08
MANUFACTURING,533.19,PVC,GRANULE,Technical Grade,SCN-1,91.75,8.25,489.2
WASHING,660.25,FLAKE,BALE,Standard,SCN-2,97.44,2.56,643.33
SEGREGATION,162.93,PET,SORTED,Grade C,SCN-4,84.63,15.37,137.89
BALING,815.98,FLAKE,BALE,Standard,SCN-2,99.9,0.1,815.12
WASHING,6960.43,FLAKE,RAW,Unknown,SCN-2,97.33,2.67,6774.39
MIXING,3069.58,HDPE,RAW,Premium,SCN-3,99.55,0.45,3055.91
QC_PASS,2136.2,GRANULE,WASHED,Rejected,SCN-4,99.83,0.17,2132.64
QC_PASS,328.4,PRODUCT,WASHED,Grade A,SCN-2,100.0,0.0,328.4
WASHING,818.6,LDPE,FLAKE,Food Grade,SCN-1,94.38,5.62,772.63
RECEIPT,1307.03,LDPE,BALE,Grade B,SCN-1,99.66,0.34,1302.54
MANUFACTURING,639.0,PP,RAW,Rejected,SCN-3,91.82,8.18,586.76
QC_FAIL,52.89,PVC,WASHED,Rejected,SCN-4,0.0,100.0,0.0
QUALITY_CONTROL,1173.73,PVC,FLAKE,Grade C,SCN-3,79.47,20.53,932.74
PRODUCTION,212.97,LDPE,GRANULE,Standard,SCN-2,96.25,3.75,205.0
PRODUCTION,754.34,HDPE,FLAKE,Technical Grade,SCN-3,92.99,7.01,701.43
BALING,765.37,PET,GRANULE,Food Grade,SCN-6,99.93,0.07,764.84
QC_FAIL,677.96,PET,FLAKE,Rejected,SCN-3,0.47,99.53,3.16
QUALITY_CONTROL,687.17,FLAKE,SORTED,Unknown,SCN-1,71.37,28.63,490.42
TRANSFER,666.37,GRANULE,RAW,Grade B,SCN-2,99.53,0.47,663.27
WASHING,146.23,MIXED,FLAKE,Technical Grade,SCN-2,85.35,14.65,124.81
MIXING,800.16,LDPE,RAW,Food Grade,SCN-6,100.0,0.0,800.16
MIXING,865.71,PVC,PROCESSED,Grade C,SCN-4,94.97,5.03,822.18
MIXING,691.9,PET,PROCESSED,Food Grade,SCN-4,99.87,0.13,691.0
INWARD,985.66,FLAKE,WASHED,Grade C,SCN-6,100.0,0.0,985.66
MANUFACTURING,348.44,PET,BALE,Rejected,SCN-3,92.01,7.99,320.59
TRANSFER,285.34,FLAKE,BALE,Grade C,SCN-6,97.65,2.35,278.63
MANUFACTURING,800.05,PVC,BALE,Technical Grade,SCN-2,91.57,8.43,732.62
MIXING,3815.16,PVC,BALE,Standard,SCN-5,95.46,4.54,3641.88
QC_FAIL,2708.54,FLAKE,BALE,Technical Grade,SCN-1,0.0,100.0,0.0
BALING,349.09,LDPE,FLAKE,Grade B,SCN-2,98.25,1.75,342.97
INWARD,368.74,PRODUCT,FLAKE,Premium,SCN-5,100.0,0.0,368.74
QC_FAIL,425.68,FLAKE,GRANULE,Premium,SCN-1,0.42,99.58,1.79
INWARD,645.22,PET,WASHED,Premium,SCN-4,100.0,0.0,645.22
RECYCLING,562.22,GRANULE,BALE,Unknown,SCN-3,96.56,3.44,542.86
TRANSFER,1382.81,PRODUCT,PROCESSED,Grade A,SCN-3,100.0,0.0,1382.81
RECYCLING,995.64,PRODUCT,GRANULE,Rejected,SCN-6,79.53,20.47,791.84
MIXING,532.34,MIXED,RAW,Grade A,SCN-2,95.12,4.88,506.34
RECEIPT,342.78,PRODUCT,WASHED,Unknown,SCN-6,100.0,0.0,342.78
RECYCLING,716.2,FLAKE,BALE,Grade B,SCN-4,90.62,9.38,648.99
SEGREGATION,1374.39,LDPE,FLAKE,Unknown,SCN-1,88.83,11.17,1220.81
QC_FAIL,115.03,PP,WASHED,Grade B,SCN-2,0.0,100.0,0.0
PRODUCTION,884.97,GRANULE,SORTED,Rejected,SCN-5,93.33,6.67,825.92
QC_FAIL,295.17,HDPE,FLAKE,Technical Grade,SCN-1,0.0,100.0,0.0
INWARD,2490.36,FLAKE,GRANULE,Rejected,SCN-4,99.65,0.35,2481.61
QC_PASS,810.89,LDPE,BALE,Rejected,SCN-5,99.93,0.07,810.34
WASHING,365.27,PP,RAW,Standard,SCN-5,90.47,9.53,330.46
RECEIPT,475.06,HDPE,RAW,Standard,SCN-4,99.51,0.49,472.73
QC_FAIL,626.38,PVC,BALE,Technical Grade,SCN-5,0.0,100.0,0.0
TRANSFER,1538.0,PP,PROCESSED,Rejected,SCN-4,96.51,3.49,1484.32
TRANSFER,281.16,MIXED,BALE,Technical Grade,SCN-1,97.12,2.88,273.06
QUALITY_CONTROL,1094.16,LDPE,BALE,Technical Grade,SCN-4,84.07,15.93,919.89
MANUFACTURING,485.28,GRANULE,PROCESSED,Premium,SCN-4,99.15,0.85,481.17
MANUFACTURING,205.52,HDPE,RAW,Grade C,SCN-1,91.53,8.47,188.1
MIXING,380.19,HDPE,SORTED,Grade A,SCN-6,100.0,0.0,380.19
MIXING,1065.87,GRANULE,PROCESSED,Rejected,SCN-1,94.92,5.08,1011.69
MIXING,498.5,PRODUCT,BALE,Food Grade,SCN-5,100.0,0.0,498.5
BALING,80.25,MIXED,WASHED,Technical Grade,SCN-6,98.43,1.57,78.99
INWARD,953.98,PVC,GRANULE,Technical Grade,SCN-2,99.99,0.01,953.84
SEGREGATION,1960.16,GRANULE,PROCESSED,Grade C,SCN-2,92.2,7.8,1807.28
RECEIPT,175.37,PRODUCT,PROCESSED,Grade A,SCN-2,100.0,0.0,175.37
TRANSFER,1080.18,PET,PROCESSED,Premium,SCN-3,100.0,0.0,1080.18
MANUFACTURING,228.71,PP,GRANULE,Standard,SCN-3,99.08,0.92,226.62
TRANSFER,821.62,GRANULE,WASHED,Rejected,SCN-6,96.88,3.12,795.95
INWARD,2769.97,PP,SORTED,Rejected,SCN-1,100.0,0.0,2769.97
RECEIPT,593.05,MIXED,WASHED,Grade C,SCN-4,100.0,0.0,593.05
RECEIPT,628.83,PVC,SORTED,Technical Grade,SCN-6,100.0,0.0,628.83
TRANSFER,924.74,LDPE,WASHED,Grade B,SCN-3,97.11,2.89,898.0
MIXING,444.49,PET,PROCESSED,Grade C,SCN-3,94.94,5.06,422.0
QUALITY_CONTROL,1821.68,PVC,PROCESSED,Grade C,SCN-4,60.15,39.85,1095.82
QUALITY_CONTROL,283.89,PET,SORTED,Rejected,SCN-1,50.05,49.95,142.1
